"age","work_class","education","marital_status","occupation","race","sex","hours_per_week","income_class"
36,"Private","Bachelors","Never-married","Exec-managerial","White","Male",40,"<=50K"
24,"Private","Bachelors","Married-spouse-absent","Prof-specialty","White","Female",40,"<=50K"
26,"State-gov","Assoc-acdm","Never-married","Adm-clerical","Black","Female",40,"<=50K"
23,"Private","HS-grad","Separated","Exec-managerial","White","Female",42,"<=50K"
33,"Private","Doctorate","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
19,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
33,"Private","HS-grad","Never-married","Adm-clerical","White","Female",41,"<=50K"
39,"Private","HS-grad","Married-civ-spouse","Adm-clerical","White","Male",24,"<=50K"
68,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",20,"<=50K"
25,"Private","HS-grad","Divorced","Adm-clerical","White","Male",40,"<=50K"
59,"Private","Masters","Widowed","Prof-specialty","White","Female",40,"<=50K"
22,"Private","HS-grad","Married-civ-spouse","Sales","Black","Male",40,"<=50K"
47,"Self-emp-not-inc","Masters","Never-married","Prof-specialty","White","Female",50,"<=50K"
67,"Private","HS-grad","Never-married","Adm-clerical","White","Female",38,"<=50K"
35,"Private","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",50,"<=50K"
19,"Private","HS-grad","Never-married","Other-service","White","Female",25,"<=50K"
36,"Private","Assoc-acdm","Divorced","Exec-managerial","White","Male",48,"<=50K"
46,"Self-emp-inc","Bachelors","Married-civ-spouse","Sales","White","Male",52,"<=50K"
22,"Private","HS-grad","Never-married","Other-service","White","Female",25,"<=50K"
34,"Self-emp-not-inc","HS-grad","Divorced","Farming-fishing","White","Male",40,"<=50K"
32,"Private","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
75,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",20,"<=50K"
38,"Private","HS-grad","Married-AF-spouse","Other-service","White","Female",25,"<=50K"
50,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",80,"<=50K"
32,"Private","Bachelors","Married-civ-spouse","Exec-managerial","White","Male",50,"<=50K"
49,"State-gov","Masters","Divorced","Prof-specialty","White","Female",40,"<=50K"
41,"Private","HS-grad","Married-civ-spouse","Adm-clerical","White","Male",40,"<=50K"
35,"Private","Bachelors","Divorced","Exec-managerial","White","Female",40,"<=50K"
19,"Private","HS-grad","Never-married","Sales","White","Male",40,"<=50K"
27,"Local-gov","Bachelors","Never-married","Prof-specialty","White","Male",35,"<=50K"
29,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",40,"<=50K"
22,"Private","Bachelors","Never-married","Prof-specialty","White","Male",55,"<=50K"
43,"Private","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
36,"Local-gov","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",40,"<=50K"
28,"Private","HS-grad","Never-married","Other-service","White","Female",32,"<=50K"
23,"Local-gov","Bachelors","Never-married","Prof-specialty","White","Female",40,"<=50K"
24,"State-gov","Bachelors","Never-married","Prof-specialty","White","Male",20,"<=50K"
31,"Private","Bachelors","Never-married","Prof-specialty","White","Male",50,"<=50K"
42,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",40,"<=50K"
32,"Local-gov","Masters","Married-civ-spouse","Prof-specialty","White","Male",50,"<=50K"
25,"Private","Bachelors","Never-married","Sales","Black","Female",40,"<=50K"
29,"Private","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
34,"Private","Assoc-acdm","Married-civ-spouse","Adm-clerical","White","Male",28,"<=50K"
20,"Private","HS-grad","Never-married","Sales","White","Female",32,"<=50K"
37,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",50,"<=50K"
48,"Private","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",50,"<=50K"
47,"Private","HS-grad","Divorced","Other-service","White","Female",4,"<=50K"
62,"Self-emp-not-inc","Masters","Divorced","Prof-specialty","White","Female",32,"<=50K"
41,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",40,"<=50K"
27,"Private","Masters","Married-civ-spouse","Prof-specialty","White","Male",55,"<=50K"
35,"Private","Masters","Married-civ-spouse","Adm-clerical","White","Male",40,"<=50K"
27,"Private","Bachelors","Never-married","Prof-specialty","White","Female",60,"<=50K"
37,"Private","HS-grad","Married-civ-spouse","Adm-clerical","White","Female",40,"<=50K"
58,"Private","HS-grad","Divorced","Sales","White","Female",40,"<=50K"
20,"Private","HS-grad","Married-civ-spouse","Tech-support","White","Male",40,"<=50K"
27,"Private","Masters","Never-married","Adm-clerical","White","Female",46,"<=50K"
22,"Private","HS-grad","Never-married","Other-service","White","Male",27,"<=50K"
43,"Local-gov","Bachelors","Divorced","Prof-specialty","Black","Female",42,"<=50K"
22,"Private","HS-grad","Never-married","Sales","Black","Female",37,"<=50K"
27,"Private","HS-grad","Divorced","Sales","White","Female",35,"<=50K"
66,"Private","Masters","Married-civ-spouse","Sales","White","Male",40,"<=50K"
28,"Private","HS-grad","Never-married","Exec-managerial","White","Female",45,"<=50K"
20,"Self-emp-not-inc","HS-grad","Divorced","Sales","White","Female",30,"<=50K"
35,"Private","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",40,"<=50K"
20,"Private","HS-grad","Never-married","Sales","White","Female",84,"<=50K"
18,"Private","HS-grad","Never-married","Sales","White","Female",38,"<=50K"
26,"Private","Bachelors","Never-married","Prof-specialty","White","Female",45,"<=50K"
21,"Private","Bachelors","Never-married","Sales","White","Male",30,"<=50K"
37,"Private","Bachelors","Never-married","Sales","White","Female",40,"<=50K"
31,"Private","HS-grad","Separated","Other-service","White","Female",40,"<=50K"
46,"Private","HS-grad","Married-civ-spouse","Other-service","White","Male",40,"<=50K"
39,"Federal-gov","Bachelors","Never-married","Adm-clerical","White","Male",40,"<=50K"
40,"Private","HS-grad","Married-civ-spouse","Farming-fishing","Black","Male",40,"<=50K"
30,"Private","HS-grad","Never-married","Other-service","White","Male",40,"<=50K"
48,"Federal-gov","Bachelors","Divorced","Exec-managerial","White","Male",45,"<=50K"
33,"Private","HS-grad","Divorced","Other-service","White","Female",40,"<=50K"
44,"Private","HS-grad","Married-civ-spouse","Sales","White","Female",40,"<=50K"
21,"Private","HS-grad","Never-married","Other-service","White","Female",20,"<=50K"
34,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",60,"<=50K"
30,"Private","Bachelors","Never-married","Prof-specialty","White","Female",37,"<=50K"
47,"Private","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
47,"Private","HS-grad","Divorced","Adm-clerical","White","Female",20,"<=50K"
27,"Private","HS-grad","Divorced","Other-service","White","Female",40,"<=50K"
18,"Private","HS-grad","Never-married","Adm-clerical","White","Female",30,"<=50K"
30,"Private","Assoc-acdm","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
23,"Private","Assoc-acdm","Never-married","Sales","Black","Female",36,"<=50K"
31,"Private","HS-grad","Never-married","Other-service","Black","Female",38,"<=50K"
62,"Self-emp-not-inc","HS-grad","Widowed","Adm-clerical","White","Female",30,"<=50K"
63,"Private","HS-grad","Widowed","Adm-clerical","White","Female",40,"<=50K"
36,"State-gov","Masters","Never-married","Prof-specialty","White","Male",40,"<=50K"
30,"Private","HS-grad","Married-spouse-absent","Sales","White","Male",40,"<=50K"
44,"Self-emp-not-inc","Bachelors","Never-married","Sales","White","Male",42,"<=50K"
32,"Private","HS-grad","Never-married","Other-service","Black","Female",40,"<=50K"
45,"Private","HS-grad","Divorced","Adm-clerical","White","Female",38,"<=50K"
37,"Private","HS-grad","Divorced","Other-service","Black","Female",30,"<=50K"
22,"Local-gov","Bachelors","Never-married","Prof-specialty","White","Female",35,"<=50K"
28,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Prof-specialty","White","Male",35,"<=50K"
27,"Private","Bachelors","Never-married","Tech-support","White","Female",40,"<=50K"
27,"Private","Bachelors","Never-married","Exec-managerial","White","Female",40,"<=50K"
26,"Private","HS-grad","Married-civ-spouse","Other-service","White","Male",50,"<=50K"
42,"Private","Bachelors","Never-married","Sales","White","Male",60,"<=50K"
21,"Private","HS-grad","Never-married","Other-service","White","Female",28,"<=50K"
28,"Private","HS-grad","Married-spouse-absent","Tech-support","White","Female",37,"<=50K"
46,"Private","Masters","Married-civ-spouse","Adm-clerical","White","Male",60,"<=50K"
37,"Self-emp-not-inc","HS-grad","Divorced","Exec-managerial","White","Male",55,"<=50K"
42,"Private","HS-grad","Never-married","Other-service","White","Female",40,"<=50K"
58,"Self-emp-not-inc","Masters","Married-civ-spouse","Exec-managerial","White","Male",50,"<=50K"
32,"Private","HS-grad","Never-married","Adm-clerical","White","Female",42,"<=50K"
43,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",30,"<=50K"
35,"Private","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",55,"<=50K"
30,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",40,"<=50K"
25,"Private","HS-grad","Never-married","Other-service","White","Female",25,"<=50K"
33,"Private","Masters","Never-married","Prof-specialty","White","Male",40,"<=50K"
41,"Local-gov","Assoc-acdm","Never-married","Exec-managerial","White","Male",40,"<=50K"
61,"Local-gov","Bachelors","Divorced","Other-service","White","Male",30,"<=50K"
29,"Private","HS-grad","Never-married","Farming-fishing","Black","Male",30,"<=50K"
20,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",45,"<=50K"
41,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
60,"Self-emp-inc","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",25,"<=50K"
37,"Private","HS-grad","Divorced","Sales","White","Male",60,"<=50K"
25,"Private","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
23,"Private","Bachelors","Never-married","Tech-support","White","Female",40,"<=50K"
37,"Private","HS-grad","Married-civ-spouse","Other-service","White","Male",40,"<=50K"
22,"Federal-gov","Bachelors","Never-married","Tech-support","White","Male",8,"<=50K"
48,"Private","HS-grad","Divorced","Sales","White","Female",30,"<=50K"
28,"Private","HS-grad","Separated","Farming-fishing","White","Male",55,"<=50K"
41,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
24,"Private","Bachelors","Never-married","Adm-clerical","White","Female",40,"<=50K"
69,"Private","HS-grad","Widowed","Adm-clerical","White","Female",40,"<=50K"
39,"Private","HS-grad","Widowed","Adm-clerical","White","Female",40,"<=50K"
33,"Private","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",50,"<=50K"
17,"Private","HS-grad","Never-married","Sales","White","Female",20,"<=50K"
64,"Private","Masters","Never-married","Prof-specialty","White","Female",35,"<=50K"
30,"Private","Prof-school","Married-civ-spouse","Prof-specialty","White","Male",50,"<=50K"
48,"Private","Masters","Married-civ-spouse","Exec-managerial","Black","Male",45,"<=50K"
39,"Private","Bachelors","Never-married","Exec-managerial","White","Male",45,"<=50K"
27,"Private","Assoc-acdm","Married-civ-spouse","Exec-managerial","White","Male",40,"<=50K"
19,"Private","HS-grad","Never-married","Other-service","Black","Male",40,"<=50K"
58,"Self-emp-not-inc","Bachelors","Divorced","Other-service","White","Female",20,"<=50K"
37,"Private","HS-grad","Never-married","Adm-clerical","Black","Female",40,"<=50K"
17,"Private","HS-grad","Never-married","Other-service","White","Male",40,"<=50K"
24,"Private","Assoc-acdm","Never-married","Adm-clerical","White","Female",40,"<=50K"
29,"Local-gov","Masters","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
50,"Local-gov","HS-grad","Married-civ-spouse","Other-service","Black","Male",40,"<=50K"
35,"Private","Bachelors","Married-civ-spouse","Sales","White","Male",40,"<=50K"
55,"Local-gov","Doctorate","Never-married","Prof-specialty","White","Female",60,"<=50K"
56,"Private","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",50,"<=50K"
26,"Private","HS-grad","Separated","Adm-clerical","White","Female",40,"<=50K"
40,"Private","HS-grad","Divorced","Adm-clerical","White","Female",38,"<=50K"
36,"Private","Masters","Married-civ-spouse","Other-service","White","Male",40,"<=50K"
31,"Private","Assoc-acdm","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
37,"Private","Assoc-acdm","Married-civ-spouse","Prof-specialty","White","Male",45,"<=50K"
50,"State-gov","HS-grad","Married-civ-spouse","Prof-specialty","White","Male",52,"<=50K"
24,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
46,"Local-gov","Masters","Widowed","Exec-managerial","Black","Female",35,"<=50K"
28,"Private","Assoc-acdm","Married-civ-spouse","Sales","White","Male",30,"<=50K"
31,"Private","HS-grad","Never-married","Other-service","White","Female",40,"<=50K"
39,"Private","HS-grad","Divorced","Adm-clerical","White","Male",40,"<=50K"
34,"Private","HS-grad","Never-married","Adm-clerical","White","Male",40,"<=50K"
27,"Private","HS-grad","Never-married","Adm-clerical","White","Male",40,"<=50K"
48,"Private","Assoc-acdm","Married-civ-spouse","Prof-specialty","White","Male",45,"<=50K"
29,"Private","HS-grad","Separated","Sales","White","Female",25,"<=50K"
58,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Farming-fishing","White","Male",25,"<=50K"
38,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Farming-fishing","White","Male",60,"<=50K"
24,"Private","HS-grad","Never-married","Other-service","White","Male",35,"<=50K"
27,"Private","Bachelors","Never-married","Prof-specialty","White","Female",20,"<=50K"
57,"Self-emp-not-inc","Prof-school","Married-civ-spouse","Prof-specialty","White","Male",36,"<=50K"
50,"Local-gov","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
21,"Private","HS-grad","Never-married","Other-service","White","Male",35,"<=50K"
34,"Self-emp-inc","Bachelors","Divorced","Exec-managerial","White","Male",50,"<=50K"
27,"Private","Bachelors","Never-married","Prof-specialty","White","Female",48,"<=50K"
31,"Private","HS-grad","Never-married","Farming-fishing","Black","Female",60,"<=50K"
19,"Private","HS-grad","Never-married","Adm-clerical","White","Female",20,"<=50K"
36,"Private","HS-grad","Never-married","Adm-clerical","Black","Female",40,"<=50K"
27,"State-gov","Bachelors","Never-married","Prof-specialty","White","Male",60,"<=50K"
43,"Private","HS-grad","Separated","Other-service","White","Female",40,"<=50K"
39,"Private","HS-grad","Never-married","Other-service","White","Female",38,"<=50K"
50,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Exec-managerial","White","Male",13,"<=50K"
32,"Self-emp-inc","Bachelors","Married-civ-spouse","Sales","White","Male",45,"<=50K"
25,"Private","HS-grad","Never-married","Sales","White","Male",40,"<=50K"
76,"Private","Bachelors","Married-civ-spouse","Exec-managerial","White","Male",40,"<=50K"
19,"Private","HS-grad","Never-married","Other-service","White","Female",40,"<=50K"
45,"Local-gov","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
41,"State-gov","Bachelors","Never-married","Prof-specialty","White","Female",40,"<=50K"
45,"Private","Bachelors","Divorced","Exec-managerial","White","Female",40,"<=50K"
24,"Private","Bachelors","Never-married","Exec-managerial","Black","Female",65,"<=50K"
41,"Local-gov","Bachelors","Widowed","Adm-clerical","White","Female",40,"<=50K"
23,"Private","HS-grad","Never-married","Sales","White","Male",40,"<=50K"
28,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",40,"<=50K"
45,"Local-gov","Masters","Divorced","Prof-specialty","White","Female",35,"<=50K"
55,"Local-gov","Bachelors","Widowed","Prof-specialty","White","Female",48,"<=50K"
57,"Private","HS-grad","Widowed","Prof-specialty","White","Female",57,"<=50K"
18,"Private","HS-grad","Never-married","Sales","White","Female",20,"<=50K"
22,"Private","HS-grad","Never-married","Adm-clerical","White","Male",40,"<=50K"
35,"Private","Bachelors","Never-married","Prof-specialty","White","Male",40,"<=50K"
25,"Private","HS-grad","Never-married","Exec-managerial","White","Female",40,"<=50K"
32,"Private","HS-grad","Divorced","Tech-support","White","Female",38,"<=50K"
59,"Self-emp-not-inc","Assoc-acdm","Divorced","Tech-support","White","Male",40,"<=50K"
36,"Private","Masters","Never-married","Prof-specialty","White","Female",40,"<=50K"
29,"Private","HS-grad","Married-civ-spouse","Farming-fishing","White","Male",97,"<=50K"
36,"Private","HS-grad","Divorced","Adm-clerical","White","Female",50,"<=50K"
59,"Private","HS-grad","Widowed","Adm-clerical","White","Female",60,"<=50K"
44,"Private","Bachelors","Divorced","Adm-clerical","White","Female",32,"<=50K"
26,"Private","Bachelors","Never-married","Other-service","White","Female",25,"<=50K"
36,"Private","HS-grad","Separated","Other-service","Black","Female",35,"<=50K"
43,"Private","Bachelors","Divorced","Exec-managerial","White","Female",40,"<=50K"
43,"Private","HS-grad","Separated","Other-service","White","Female",26,"<=50K"
18,"Private","HS-grad","Never-married","Other-service","White","Female",30,"<=50K"
22,"Private","Bachelors","Never-married","Exec-managerial","White","Female",40,"<=50K"
55,"Federal-gov","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",40,"<=50K"
19,"Private","HS-grad","Never-married","Sales","White","Male",45,"<=50K"
59,"Federal-gov","Masters","Never-married","Exec-managerial","White","Male",40,"<=50K"
23,"Private","HS-grad","Married-civ-spouse","Sales","White","Male",45,"<=50K"
31,"Private","HS-grad","Divorced","Sales","Black","Male",50,"<=50K"
20,"Private","HS-grad","Never-married","Sales","White","Female",30,"<=50K"
38,"Private","HS-grad","Married-civ-spouse","Exec-managerial","White","Male",50,"<=50K"
28,"State-gov","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",20,"<=50K"
23,"Private","Bachelors","Never-married","Exec-managerial","White","Male",40,"<=50K"
30,"Federal-gov","HS-grad","Separated","Adm-clerical","Black","Male",35,"<=50K"
26,"Private","HS-grad","Married-civ-spouse","Sales","White","Female",20,"<=50K"
33,"State-gov","HS-grad","Married-civ-spouse","Tech-support","White","Male",40,"<=50K"
41,"Private","HS-grad","Never-married","Sales","Black","Female",40,"<=50K"
57,"Local-gov","Bachelors","Married-civ-spouse","Exec-managerial","White","Male",45,"<=50K"
36,"Private","Masters","Never-married","Exec-managerial","White","Male",15,"<=50K"
28,"Private","Masters","Married-civ-spouse","Prof-specialty","White","Male",48,"<=50K"
22,"Private","Bachelors","Never-married","Adm-clerical","White","Female",25,"<=50K"
52,"Private","HS-grad","Married-spouse-absent","Adm-clerical","White","Female",50,"<=50K"
51,"Local-gov","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",45,"<=50K"
42,"Private","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
59,"Local-gov","Assoc-acdm","Divorced","Prof-specialty","White","Female",50,"<=50K"
55,"Federal-gov","Bachelors","Never-married","Prof-specialty","White","Female",40,"<=50K"
55,"Federal-gov","Bachelors","Divorced","Prof-specialty","White","Male",40,"<=50K"
32,"Self-emp-not-inc","HS-grad","Never-married","Other-service","White","Female",60,"<=50K"
38,"Private","Bachelors","Never-married","Exec-managerial","White","Male",55,"<=50K"
29,"Local-gov","Assoc-acdm","Never-married","Adm-clerical","White","Male",40,"<=50K"
51,"Private","Bachelors","Separated","Prof-specialty","White","Male",40,"<=50K"
33,"Federal-gov","Bachelors","Married-civ-spouse","Prof-specialty","White","Male",40,"<=50K"
42,"Private","HS-grad","Married-civ-spouse","Other-service","Black","Female",35,"<=50K"
24,"Private","Bachelors","Never-married","Prof-specialty","Black","Female",35,"<=50K"
52,"Self-emp-not-inc","HS-grad","Never-married","Prof-specialty","White","Male",50,"<=50K"
34,"Private","Assoc-acdm","Divorced","Adm-clerical","White","Female",35,"<=50K"
79,"Self-emp-not-inc","HS-grad","Widowed","Other-service","White","Female",24,"<=50K"
19,"Private","HS-grad","Never-married","Prof-specialty","White","Female",40,"<=50K"
30,"Private","HS-grad","Never-married","Adm-clerical","White","Female",40,"<=50K"
54,"Private","HS-grad","Never-married","Adm-clerical","White","Male",41,"<=50K"
20,"Private","HS-grad","Never-married","Prof-specialty","White","Female",40,"<=50K"
54,"Private","HS-grad","Widowed","Exec-managerial","White","Female",45,"<=50K"
52,"Private","HS-grad","Divorced","Adm-clerical","White","Female",40,"<=50K"
23,"Private","Bachelors","Never-married","Exec-managerial","White","Male",40,"<=50K"
38,"Private","HS-grad","Never-married","Exec-managerial","White","Female",40,"<=50K"
29,"Private","Bachelors","Never-married","Sales","White","Female",60,"<=50K"
30,"Private","HS-grad","Separated","Other-service","White","Female",30,"<=50K"
21,"Private","HS-grad","Never-married","Prof-specialty","White","Female",30,"<=50K"
34,"Private","HS-grad","Never-married","Sales","White","Female",35,"<=50K"
28,"Private","Bachelors","Married-civ-spouse","Adm-clerical","White","Female",15,"<=50K"
39,"Self-emp-inc","Bachelors","Married-civ-spouse","Exec-managerial","White","Male",45,"<=50K"
31,"Private","Prof-school","Never-married","Prof-specialty","White","Male",50,"<=50K"
39,"Private","HS-grad","Divorced","Other-service","White","Female",40,"<=50K"
43,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Exec-managerial","White","Female",40,"<=50K"
28,"Private","Masters","Never-married","Prof-specialty","White","Male",50,"<=50K"
41,"State-gov","HS-grad","Never-married","Other-service","White","Female",40,"<=50K"
